palabra,sentimiento
ciegamente,negativo
ciegamente,tristeza
a distancia,negativo
a hurtadillas,sorpresa
a la deriva,anticipación
a la deriva,miedo
a la deriva,negativo
a la deriva,tristeza
a la fuerza,enfado
a la fuerza,miedo
a la fuerza,negativo
a prueba de balas,positivo
a prueba de la intemperie,positivo
a regañadientes,negativo
ábaco,confianza
abad,confianza
abandonada,enfado
abandonada,miedo
abandonada,negativo
abandonada,tristeza
abandonada,negativo
abandonada,enfado
abandonada,asco
abandonada,miedo
abandonada,negativo
abandonada,tristeza
abandonada,negativo
abandonada,tristeza
abandonada,enfado
abandonada,negativo
abandonada,tristeza
abandonado,enfado
abandonado,miedo
abandonado,negativo
abandonado,tristeza
abandonado,negativo
abandonado,enfado
abandonado,asco
abandonado,miedo
abandonado,negativo
abandonado,tristeza
abandonado,negativo
abandonado,tristeza
abandonado,enfado
abandonado,negativo
abandonado,tristeza
abandonar,miedo
abandonar,negativo
abandonar,tristeza
abandonar,negativo
abandonar,tristeza
abandono,enfado
abandono,miedo
abandono,negativo
abandono,tristeza
abandono,sorpresa
abastecer,positivo
abba,positivo
abedul,enfado
abedul,asco
abedul,miedo
abedul,negativo
abeja,enfado
abeja,miedo
aberración,asco
aberración,negativo
aberrante,negativo
abierto,miedo
abismal,negativo
abismal,tristeza
abismo,miedo
abismo,negativo
abismo,tristeza
abismo,miedo
abogacía,enfado
abogacía,anticipación
abogacía,alegría
abogacía,positivo
abogacía,confianza
abogada,confianza
abogada,enfado
abogada,miedo
abogada,positivo
abogada,confianza
abogada,enfado
abogada,asco
abogada,miedo
abogada,negativo
abogado,confianza
abogado,enfado
abogado,miedo
abogado,positivo
abogado,confianza
abogado,enfado
abogado,asco
abogado,miedo
abogado,negativo
abolición,negativo
abolir,enfado
abolir,negativo
abollada,miedo
abollada,negativo
abollada,tristeza
abollado,miedo
abollado,negativo
abollado,tristeza
abominable,asco
abominable,miedo
abominable,negativo
abominación,enfado
abominación,asco
abominación,miedo
abominación,negativo
aborrecer,enfado
aborrecer,asco
aborrecer,miedo
aborrecer,negativo
aborrecible,enfado
